round,client_id,num_examples,fedavg_size_weight,shap_alignment,server_validation_f1,reliable_shap_weight,final_weight
1,1,515452,0.2,0.9953560670091521,0.4291473676811806,0.20835749310330318,0.20083574931033027
1,2,515452,0.2,0.997298342835289,0.45975456554940264,0.22365332061742538,0.2023653320617425
1,3,515452,0.2,0.9886438344770013,0.48810594277943303,0.2353846619827681,0.20353846619827679
1,4,515452,0.2,0.9980482978127347,0.41828480224215553,0.2036328531266115,0.20036328531266112
1,5,515452,0.2,0.9974456225799796,0.2650824012803415,0.12897167116989197,0.19289716711698918
2,1,515452,0.2,0.9921171995862922,0.41989687125885183,0.19977497758204066,0.1999774977582041
2,2,515452,0.2,0.9856939912659741,0.46759438915737755,0.22102778608961648,0.20210277860896167
2,3,515452,0.2,0.9888623167989918,0.5073399501367954,0.24058600598185506,0.20405860059818554
2,4,515452,0.2,0.9990858819735841,0.4095651986984876,0.1962281648153327,0.1996228164815333
2,5,515452,0.2,0.9887832436405798,0.30027679226906184,0.1423830655311551,0.19423830655311553
3,1,515452,0.2,0.9949159406128606,0.4532423939698876,0.21016617175314228,0.2010166171753142
3,2,515452,0.2,0.9913638490015587,0.4749439891241677,0.2194428186861249,0.20194428186861246
3,3,515452,0.2,0.9925131930849027,0.5062412965619092,0.23417458413637074,0.20341745841363704
3,4,515452,0.2,0.9973839178236418,0.4020709054430464,0.18690069169251747,0.19869006916925172
3,5,515452,0.2,0.9927940175313974,0.322701156421839,0.14931573373184467,0.19493157337318442
4,1,515452,0.2,0.9969108575781209,0.427190664796382,0.19670648548702988,0.19967064854870295
4,2,515452,0.2,0.9964950605544465,0.5083578365277139,0.2339835212172786,0.20339835212172783
4,3,515452,0.2,0.9976677491110275,0.5140041883178106,0.23686079926958192,0.20368607992695817
4,4,515452,0.2,0.9976168296957186,0.39882020742926366,0.18377292228885397,0.19837729222888537
4,5,515452,0.2,0.9878764796022261,0.3258355135627295,0.14867627173725562,0.19486762717372552
5,1,515452,0.2,0.9965476954089325,0.45907642892135747,0.20418827798659447,0.20041882779865947
5,2,515452,0.2,0.9916428803195028,0.4952808696270167,0.21920707870068037,0.20192070787006805
5,3,515452,0.2,0.997869619570503,0.545200816233277,0.2428164026388497,0.20428164026388498
5,4,515452,0.2,0.998436575309282,0.4142122974570471,0.18458278446118975,0.198458278446119
5,5,515452,0.2,0.9987913254789959,0.3347050155786365,0.1492054562126857,0.1949205456212686
6,1,515452,0.2,0.9917824678529623,0.4774319175665008,0.21242747224697253,0.20124274722469726
6,2,515452,0.2,0.9948283046769528,0.513125881247651,0.22901021722552647,0.20290102172255267
6,3,515452,0.2,0.9988935504253101,0.5310590226823522,0.23798238140547567,0.2037982381405476
6,4,515452,0.2,0.998112330252778,0.4043241435841153,0.1810472369240561,0.19810472369240564
6,5,515452,0.2,0.994362513314197,0.3127868059439676,0.13953269219796913,0.19395326921979694
7,1,515452,0.2,0.9993863879051774,0.48901571273747374,0.2147873220546653,0.20147873220546655
7,2,515452,0.2,0.9457851453708469,0.5101180943604466,0.21203893629670936,0.20120389362967095
7,3,515452,0.2,0.997375677215319,0.5378692507836983,0.2357696450076813,0.20357696450076815
7,4,515452,0.2,0.9948879846670514,0.43311249662125245,0.1893770295305805,0.19893770295305807
7,5,515452,0.2,0.9986237738291048,0.33727708360765646,0.14802706711036356,0.1948027067110364
8,1,515452,0.2,0.9967747104572401,0.49217564076402354,0.20159968437280187,0.2001599684372802
8,2,515452,0.2,0.9896172791870054,0.53146799034136,0.21613102044684143,0.20161310204468416
8,3,515452,0.2,0.9991027950196385,0.5685929113841429,0.23344487106666686,0.2033444871066667
8,4,515452,0.2,0.996362792842429,0.4531781070805649,0.18554922469314172,0.1985549224693142
8,5,515452,0.2,0.9982098148609294,0.3980390357405675,0.16327519942054802,0.19632751994205483
9,1,515452,0.2,0.999559840341949,0.4901585889915889,0.2179803587696113,0.20179803587696116
9,2,515452,0.2,0.7690253574492844,0.5280755133626913,0.1806793989035665,0.19806793989035668
9,3,515452,0.2,0.9963945813387657,0.5627314133069256,0.24946203648023083,0.2049462036480231
9,4,515452,0.2,0.9904132078701867,0.44107108972495057,0.19435555717894723,0.19943555571789473
9,5,515452,0.2,0.9933977751652046,0.3564083545299181,0.15752264866764415,0.19575226486676445
10,1,515452,0.2,0.9995664165567485,0.4948117574497646,0.20662949412445178,0.20066294941244514
10,2,515452,0.2,0.9944778156964458,0.5399704950242448,0.22433951415545117,0.2024339514155451
10,3,515452,0.2,0.9983453725729637,0.5848358344984879,0.24392450373312086,0.20439245037331205
10,4,515452,0.2,0.9981889960315017,0.42303106807687346,0.17641101038635798,0.19764110103863577
10,5,515452,0.2,0.9961494793010156,0.3572996594378849,0.1486954776006182,0.1948695477600618
